YEAR	Publication
2021	The Australian
2021	The Australian
2021	The Australian
2021	The Australian
2021	The Australian
2021	The Australian
2021	The Australian
2021	The Australian
2021	The Australian
2021	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2020	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	Herald Sun
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Australian
2019	The Northern Advocate
2018	The Australian
2018	The Australian
2018	The Australian
2018	The Australian
2018	The Australian
2018	The Australian
2018	The Australian
2018	The Australian
2018	The Australian
2018	The Australian
2018	Herald Sun
2018	The Australian
2018	The Australian
2018	The Australian
2018	The Daily Post
2018	The Australian
2018	Herald Sun
2017	Herald Sun
2015	The Northern Advocate
2012	Dominion Post
2012	Waikato Times
2012	Dominion Post
2011	Taranaki Daily News
2011	The Marlborough Express
2011	The Nelson Mail
2011	Taranaki Daily News
2011	Taranaki Daily News
2011	The Press
2011	Timaru Herald
2011	Waikato Times
2011	Waikato Times
2011	Taranaki Daily News
2011	Waikato Times
2011	Timaru Herald
2011	Taranaki Daily News
2011	The Nelson Mail
2011	Dominion Post
2011	Waikato Times
2011	The Press
2011	The Southland Times
2011	Dominion Post
2010	Dominion Post
2010	The Press
2010	The Press
2010	Dominion Post
2010	The Press
2010	The Press
2010	The Nelson Mail
2010	The Nelson Mail
2010	Timaru Herald
2010	Taranaki Daily News
2010	The Nelson Mail
2010	Dominion Post
2010	Sunday Star - Times
2010	Dominion Post
2010	Taranaki Daily News
2010	Dominion Post
2010	Taranaki Daily News
2010	Dominion Post
2010	Taranaki Daily News
2010	The Press
2009	The Press
2009	The Press
2009	Taranaki Daily News
2009	Taranaki Daily News
2009	The Press
2009	Dominion Post
2009	Dominion Post
2009	The Press
2009	Manawatu Standard
2009	Waikato Times
2009	Manawatu Standard
2009	Bay of Plenty Times
2009	Manawatu Standard
2009	Taranaki Daily News
2009	The Press
2008	Hawkes Bay Today
